id,country,city,line,start_year,end_year,length,tunnel,stations,cost,currency,real_cost_USD
7640,CN,Beijing,Line 4,2004,2009,28.2,26.837,24,15300,CNY,5381.01
7649,CN,Beijing,Line 13,1999,2003,40.85,0,17,6570,CNY,2430.90
7658,CN,Shanghai,Line 2 Eastern Extension 1,1999,2000,2.72,0.87,1,314.77,CNY,116.46
7659,CN,Shanghai,Line 2 Western Extension 1,2001,2006,6.155,6.155,4,3488.42,CNY,1236.64
7664,CN,Shanghai,Line 2 Eastern Extension 2,2006,2010,30.8,21.5,10,11032,CNY,3467.36
7666,CN,Shanghai,Line 3,1997,2000,24.975,0,19,9378,CNY,3469.86
7673,CN,Shanghai,Line 5 Phase 1,2000,2002,17.206,0,11,3437,CNY,1265.85
7674,CN,Shanghai,Line 5 Southern Extension,2014,2018,19.628,7.747,9,10619,CNY,2662.18
7675,CN,Shanghai,Line 7 Phase 1,2005,2009,34.388,34.388,28,18700,CNY,6214.01
7680,CN,Shanghai,Line 7 Northern Extension,2009,2011,9.978,7.01,5,3157,CNY,948.36
7683,CN,Shanghai,Line 9 Phase 2,2005,2009,14.5,14.5,10,8940,CNY,2970.76
7688,CN,Shanghai,Line 9 Phase 3,2009,2012,5.372,5.372,3,2800,CNY,841.12
7689,CN,Shanghai,Line 9 Phase 3 Eastern Extension,2013,2017,13.828,13.828,9,12713,CNY,3283.77
7690,CN,Shanghai,Line 10 Phase 1,2005,2010,36.221,36.221,31,23784,CNY,7903.42
7691,CN,Shanghai,Line 11 Phase 1,2007,2009,46.008,21.676,21,18950,CNY,5955.99
7706,CN,Shenzhen,Line 6 Phase 1,2015,2020,37.626,13.01,20,16800,CNY,4585.15
7707,CN,Shenzhen,Line 6 (feeder),2018,2022,6.13,5.305,4,3795,CNY,902.71
7712,CN,Shenzhen,Line 3 Phase 4,NA,2022,9.35,7.42,7,10785,CNY,2568.99
7715,CN,Shenzhen,Line 13 Southern Extension,2020,2025,4.47,4.47,3,4962,CNY,1181.95
7722,CN,Shenzhen,Line 8 Phase 3,NA,2025,4.26,4.26,NA,8318,CNY,1981.35
7728,CN,Shenzhen,Line 20 Phase 1,2020,2021,8.43,8.43,5,12516,CNY,2981.31
7729,CN,Hangzhou,Line 1 Phase 1,2007,2012,48,NA,31,22076,CNY,7335.85
7730,CN,Nanjing,Line 1 Phase 1,2000,2005,21.72,14.33,16,8500,CNY,3126.15
7731,CN,Wuhan,Line 1 Phase 1,2000,2003,10.234,0,10,2199,CNY,808.75
7736,CN,Wuhan,Line 1 Phase 2,2005,2010,18.25,0,16,4649.8,CNY,1635.33
7737,CN,Wuhan,Line 1 Phase 3 Hankou North,2011,2013,5.7,0,3,2361,CNY,670.05
7753,CN,Kunming,Line 1 Phase 1 and Line 2 Phase 1,2010,2014,42.1,29.4,31,23137,CNY,6950.14
7760,CN,Beijing,Line 28,2017,2021,8.777,8.777,9,12750,CNY,3037.16
7769,CN,Beijing,Line 11 West,2019,2021,4,4,4,4890,CNY,1164.84
7771,CN,Shenzhen,Line 13,2018,2023,23,23,14,21480,CNY,5133.84
7776,CN,Beijing,Line 3 Phase 1+2,2016,2021,37.4,20.8,27,41500,CNY,10720.74
7777,CN,Beijing,Line 12,2017,2021,29.2,29.2,21,32400,CNY,8369.93
7778,CN,Guangzhou,Line 13 Phase 2,2017,2021,33.6,33.6,23,37075,CNY,8861.14
7779,CN,Guangzhou,Line 10,2017,2022,25.2,25.2,19,28920,CNY,6879.16
7784,CN,Shenzhen,Line 12,2017,2022,40,40,33,38140,CNY,9115.68
7785,CN,Beijing,Line 8 Phase 4,2016,2018,3.4,0.9886,2,3420,CNY,883.49
7786,CN,Chengdu,Line 18 Phase 3,2019,2024,14.29,14.29,7,14656,CNY,3491.19
7787,CN,Tianjin,M8 Phase 1,2017,2020,20,20,18,20053,CNY,5180.32
7792,CN,Beijing,Line 19 Phase 1,2017,2021,22.4,22.4,10,22180,CNY,5729.79
7793,CN,Beijing,Line 17,2015,2022,49.7,49.7,21,49200,CNY,12709.89
7794,CN,Beijing,Line 16,2013,2021,49.8,49.8,29,49500,CNY,13509.83
7795,CN,Beijing,Line 25 Phase 2 (Fangshan Northern Extension),2017,2020,5,NA,4,4860,CNY,1255.49
7800,CN,Tianjin,M10 Phase 1,2015,2020,24,24,23,23203,CNY,5994.06
7801,CN,Tianjin,M7 Phase 1,2017,2020,26.9,26.9,24,25704,CNY,6640.14
7802,CN,Wuhan,Line 12 (Ring),2020,2024,59.9,59.9,37,58387,CNY,13888.44
7803,CN,Nanchang,Line 2 Eastern Extension,2017,2020,4.7,4.7,4,4420,CNY,1141.82
7808,CN,Chengdu,Line 8 Phase 2,2019,2024,7.83,7.83,7,7452,CNY,1775.13
7809,CN,Tianjin,M11 Phase 1,2017,2020,25.4,25.4,25,23607,CNY,6098.42
7810,CN,Shenzhen,Line 16,2018,2023,27.6,27.6,24,27530,CNY,6579.83
7811,CN,Guangzhou,Line 12,2018,2023,37.6,37.6,25,35120,CNY,8393.88
7816,CN,Beijing,Line 7 Phase 2 (Eastern Extension),2016,2020,17.2,15,9,15330,CNY,3843.07
7818,CN,Hangzhou,Line 9 Phase 1,2017,2022,17.8,NA,14,15657,CNY,3925.04
7824,CN,Beijing,Line 27 Phase 2 (Changping Southern Extension),2019,2021,16.6,NA,8,14230,CNY,3676.05
7825,CN,Nanjing,Line 5,2015,2020,37.2,37.2,29,31680,CNY,8183.93
7826,CN,Tianjin,B1 Phase 1,2015,2020,31.4,28.3,22,26488,CNY,6842.68
7827,CN,Shenzhen,Line 14,2018,2022,51.9,51.9,17,42970,CNY,10270.08
7832,CN,Beijing,Line 6 Phase 1 and 2,2008,2014,42.85,42.85,27,32250,CNY,10234.85
7833,CN,Changsha,Line 6 Central,2017,2021,26.5,26.5,20,22360,CNY,5344.17
7834,CN,Nanjing,Line 1 Northern Extension,2015,2019,7.2,6.7,5,5940,CNY,1534.49
7835,CN,Hangzhou,Line 10 Phase 1,2018,2022,15.9,15.9,13,13109,CNY,3286.29
7840,CN,Wuhan,Line 8 Phase 2,2018,2021,16.7,16.7,12,13772,CNY,3557.74
7841,CN,Changsha,Line 7 Phase 1,2017,2021,21.6,21.6,16,18132,CNY,4333.65
7842,CN,Nanchang,Line 3,2015,2020,26.8,26.8,NA,22050,CNY,6370.99
7843,CN,Xiamen,Line 6,2017,2022,44.5,44.5,27,36464,CNY,9141.14
7848,CN,Nanjing,Line 4 Phase 2,2016,2020,9.7,9.7,6,7895,CNY,1979.19
7850,CN,Nanjing,Line 10 Phase 2,2017,2020,12.1,12.1,7,9720,CNY,2510.98
7851,CN,Guangzhou,Line 14 Phase 2,2017,2021,11.6,11.6,7,9494,CNY,2269.12
7856,CN,Chengdu,Line 13 Phase 1,2019,2024,28.85,26.3,19,23644,CNY,5632.21
7857,CN,Nanning,Line 5 Phase 1,2016,2020,20.6,20.6,18,15311,CNY,3955.31
7858,CN,Shanghai,Line 8 Phase 1,NA,2009,23.22,23.22,22,14493,CNY,5338.12
7859,CN,Guangzhou,Line 22,2017,2020,31.8,31.8,6,25865,CNY,6181.88
7865,CN,Guangzhou,Line 5 Eastern Extension,2018,2022,9.7,9.7,6,7862,CNY,1879.06
7866,CN,Hangzhou,Line 6 Phase 2,2017,2022,8.3,8.3,6,6550,CNY,1642.02
7867,CN,Xiamen,Line 2 Phase 2,2016,2020,15.5,15.5,9,12218,CNY,3062.92
7874,CN,Fuzhou,Line 5 Phase 1,2016,2020,24.6,24.6,20,19288,CNY,4982.69
7875,CN,Nanjing,Line 9 Phase 1,2016,2020,18,18,15,14110,CNY,3645.05
7880,CN,Changsha,Line 5 South Extension,2018,2022,8.43,8.43,7,6727,CNY,1607.79
7881,CN,Wuhan,Line 5,2017,2021,31.9,31.9,27,24964,CNY,6448.98
7882,CN,Chongqing,Line 5 Northern Extension,2019,2024,8.95,8.95,7,7168,CNY,1705.04
7883,CN,Beijing,Line 13A,2019,2022,30.2,18.2,18,23960,CNY,5707.48
7889,CN,Changchun,Line 5 Phase 1,2020,2026,19.5,19.5,18,15382,CNY,3658.90
7890,CN,Wuhan,Line 11 East,2017,2021,32.1,32.1,20,24620,CNY,6360.11
7891,CN,Nanjing,Line 2 Western Extension,2017,2020,5.6,5.6,4,4280,CNY,1105.66
7896,CN,Nanning,Line 2 Eastern Extension,2017,2021,6.5,6.5,4,4898,CNY,1170.65
7897,CN,Nanjing,Line 7,2016,2020,35.7,35.7,25,27220,CNY,7031.77
7898,CN,Fuzhou,Line 4 Phase 1,2017,2021,24.2,24.2,21,18436,CNY,4762.59
7899,CN,Chengdu,Line 30 Phase 1,2019,2024,24.78,24.78,24,19112,CNY,4552.64
7904,CN,Beijing,Line 7 Phase 1,2009,2014,23.7,23.7,21,16000,CNY,4256.45
7905,CN,Nanchang,Line 4 Phase 1,2016,2021,38.2,32.2,29,28650,CNY,7401.19
7907,CN,Hangzhou,Line 4 Phase 2,2017,2022,23.4,NA,15,17388,CNY,4358.99
7913,CN,Changsha,Line 6 West,2018,2022,10.05,10.05,7,7565,CNY,1808.08
7914,CN,Hangzhou,Line 8 Phase 1,2018,2022,17.2,17.2,8,12638,CNY,3168.21
7915,CN,Guangzhou,Line 7 Phase 2,2018,2022,21.8,21.8,11,16235,CNY,3880.26
7921,CN,Hangzhou,Line 3 Phase 1,2017,2021,52.2,52.2,35,37759,CNY,9465.78
7922,CN,Guangzhou,Line 18,2017,2020,62.5,62.5,9,46051,CNY,11006.45
7923,CN,Shenyang,Line 6 Phase 1,2020,2026,36,NA,32,26350,CNY,6276.80
7928,CN,Chengdu,Line 17 Phase 2,2019,2024,27.6,27.6,17,20014,CNY,4767.51
7929,CN,Nanning,Line 4 Phase 1,2015,2019,21.4,21.4,17,15119,CNY,3905.71
7930,CN,Nanning,Line 3 Phase1,2015,2019,27.7,27.7,23,19343,CNY,4996.90
7931,CN,Guiyang,Line 3 Phase 1,2018,2023,43.135,43.135,29,31545,CNY,7539.44
7936,CN,Hefei,Line 5 Phase 1,2016,2020,40.3,40.3,34,28424,CNY,7561.59
7937,CN,Hangzhou,Line 1 Phase 3,2017,2022,11.5,11.5,5,7796,CNY,1954.37
7939,CN,Kunming,Line 1 Northwestern Extension,2014,2016,7.9,7.9,7,5571,CNY,1520.47
7944,CN,Chongqing,Line 10,2014,2020,44.09,35.78,27,31098,CNY,7397.24
7945,CN,Nanjing,Line 6,2016,2020,34.8,34.8,17,23900,CNY,6174.12
7946,CN,Hefei,Line 3 Phase 1,2014,2019,37.7,34.6,32,26071,CNY,6935.62
7947,CN,Nanjing,Line S8 Southern Extension,2017,2020,2.5,2.5,2,1711,CNY,408.94
7952,CN,Chongqing,Line 5A,2019,2024,28.96,18.12,19,20334,CNY,4836.82
7953,CN,Fuzhou,Line 6,2015,2019,40.5,32,20,27716,CNY,7159.91
7954,CN,Shanghai,Airport Contact Line,2019,2025,68.6,56.7,9,48054,CNY,11430.54
7960,CN,Beijing,Line 10 North and East,2003,2008,24.64,24.64,22,13700,CNY,4818.85
7961,CN,Changsha,Line 5 Phase 1,2014,2018,22.7,22.7,18,15663,CNY,4398.48
7962,CN,Wuhan,Line 7 South,2016,2020,14.2,14.2,7,9600,CNY,2479.98
7963,CN,Changchun,Line 7 Phase 1,2020,2025,22.5,22.5,19,15583,CNY,3706.71
7968,CN,Shenyang,Line 1 Eastern Extension,2020,2025,15,15,9,10350,CNY,2465.46
7969,CN,Nanjing,Line 11 Phase 1,2017,2021,27,25.9,20,18171,CNY,4342.97
7970,CN,Xiamen,Line 3 Phase 2,2016,2020,22.6,16.8,13,15154,CNY,3621.89
7971,CN,Hefei,Line 4 Phase 1,2015,2020,36,36,28,24289,CNY,6461.56
7976,CN,Guiyang,Line 2 Phase 2,2017,2022,12.8,10.4,8,8475,CNY,2025.57
7977,CN,Chengdu,Line 10 Phase 3,2019,2024,5.5,5.5,4,3716,CNY,885.18
7979,CN,Wuhan,Line 4 Western Extension,2016,2018,4,3.4,2,2634,CNY,680.44
7984,CN,Tianjin,Z4 Phase 1,2015,2020,43.7,15.1,20,28699,CNY,7413.85
7985,CN,Beijing,Daxing Airport Express Phase 1,2016,2019,44,NA,3,27820,CNY,6626.97
7987,CN,Beijing,Line 8 Phase 1 for Olympics,2005,2008,4.528,4.528,4,2420,CNY,851.21
7993,CN,Changsha,Line 3 Phase 1,2012,2016,35.6,35.6,25,23628,CNY,6635.21
7994,CN,Chengdu,Line 27 Phase 1,2019,2024,22.2,13.2,20,14813,CNY,3528.59
8000,CN,Suzhou,Line S1,NA,2023,41,41,27,27370,CNY,6510.47
8001,CN,Hangzhou,Line 7,2017,2021,45,45,24,28997,CNY,6930.45
8002,CN,Taiyuan,Line 1 Phase 1,2014,2018,24.1,NA,21,15790,CNY,4434.15
8003,CN,Changsha,Line 4 Phase 1,2013,2017,33.5,NA,24,21938,CNY,6160.63
8009,CN,Suzhou,Line 6,2018,2023,34.2,34.2,28,23740,CNY,5647.00
8010,CN,Xi'an,Line 15 Phase 1,2020,2025,19,19,11,12436,CNY,2962.36
8011,CN,Guiyang,S2 Phase 1 North,2017,2021,32.1,31.6,16,20430,CNY,4882.89
8018,CN,Changsha,Line 2 West Extension Phase 2,2017,2021,13.99,13.78,11,11138,CNY,2653.07
8019,CN,Kunming,Line 1 Feeder,2013,2015,5.2,5.2,4,3306,CNY,902.29
8024,CN,Hangzhou,Line 2 Phase 3,2017,2020,1.6,NA,1,988,CNY,236.14
8025,CN,Zhengzhou,Line 8 Phase 1,2020,2024,50.63,50.63,27,31019.49,CNY,7389.11
8026,CN,Chengdu,Line 19 Phase 2,2019,2024,45.6,45.6,10,28425,CNY,6771.08
8033,CN,Taiyuan,Line 2 Phase 1,2012,2016,25.1,NA,22,15139,CNY,4251.33
8035,CN,Shenyang,Line 3 Phase 1,2019,2025,38.4,NA,28,23130,CNY,5509.77
8040,CN,Guangzhou,Line 3 Eastern Extension,2019,2022,9.6,9.6,4,5698,CNY,1357.26
8041,CN,Beijing,Daxing Line,2007,2010,21.8,17.5,11,10930,CNY,3632.44
8048,CN,Xi'an,Line 16 Phase 1,2019,2024,15.1,15.1,8,8857,CNY,2109.81
8050,CN,Tianjin,Z2 Phase 1,2017,2020,52.8,17.9,5,29975,CNY,7743.48
8051,CN,Kunming,Line 3 Phase 2,2016,2018,4,NA,3,2267,CNY,618.72
8056,CN,Changchun,Line 2 Eastern Extension,2020,2025,9.1,9.1,6,5131,CNY,1220.50
8057,CN,Hangzhou,Line 5 Phase 2,2017,2020,3.2,NA,2,1754,CNY,419.22
8058,CN,Guiyang,S1 Phase 1,2016,2020,28.5,15.1,12,15479,CNY,3699.57
8064,CN,Changsha,Line 2 West Extension Phase 1,2012,2015,4.5,4.5,4,2466,CNY,692.50
8065,CN,Beijing,Line 5,2002,2007,27.6,NA,23,12000,CNY,4253.81
8066,CN,Chongqing,Ring Line,2012,2016,50.47,NA,33,27330,CNY,7459.06
8067,CN,Changsha,Line 1 North Extension Phase 1,2017,2021,9.93,5.4,5,5337,CNY,1271.27
8072,CN,Kunming,Line 5,2015,2018,24,NA,20,12911,CNY,3523.74
8073,CN,Xiamen,Line 4,2017,2022,69.6,31.2,18,36256,CNY,8665.39
8074,CN,Chongqing,Line 6 Branch (EXPO) Phase 2,2016,2020,13.99,8.93,7,7474,CNY,1777.83
8080,CN,Nanjing,Line 3 Phase 3,2015,2017,6.6,6.6,2,3370,CNY,870.58
8081,CN,Chongqing,Line 9 Phase 2,2016,2020,10.77,NA,5,5613,CNY,1531.93
8082,CN,Chongqing,Line 9,2015,2020,39,36.417,26,23339,CNY,6369.81
8090,CN,Chongqing,Line 4 Phase 1,2013,2018,15.77,11.05,9,8805,CNY,2403.11
8091,CN,Nanchang,Line 1 Eastern Extension,2018,2021,4.1,4.1,2,2040,CNY,556.77
8096,CN,Changsha,Line 6 East,2018,2022,12.15,12.15,5,6140,CNY,1462.55
8097,CN,Changchun,Line 4 Southern Extension,2020,2023,4,0,6,2013,CNY,478.83
8098,CN,Kunming,Line 4,2016,2019,43.5,43.5,26,21564,CNY,5885.37
8104,CN,Changsha,Line 4 North Extension,2018,2022,14.26,2.06,8,6831,CNY,1627.14
8105,CN,Shanghai,Line 11 (to Disney),NA,2016,9.15,1.46,3,4371,CNY,1227.46
8107,CN,Nanchang,Line 2 Western Extension,2015,2018,8.5,8.5,7,3930,CNY,1072.60
8112,CN,Beijing,Line 15 Phase 1,2009,2014,41.4,27.7,18,18100,CNY,5437.07
8113,CN,Shanghai,Line 6,2002,2011,33.09,21.05,28,12000,CNY,4462.63
8114,CN,Wuhan,Line 1 Phase 4 (Jinghe),2015,2017,3.97,0,3,1740,CNY,474.89
8115,CN,Changchun,Line 9 (Konggang),2019,2025,28.2,13.9,8,12640,CNY,3006.66
8121,CN,Chongqing,Line 6 Branch (EXPO) Phase 1,NA,2013,12.2,NA,6,5292,CNY,1444.32
8123,CN,Chongqing,Line 5 Phase 1 North,2013,2018,16.42,16.42,10,9700,CNY,2647.38
8128,CN,Kunming,Line 6,2013,2015,25.4,NA,6,10151,CNY,2770.47
8129,CN,Beijing,Line 13B,2019,2022,32.2,10.3,15,12640,CNY,3010.96
8130,CN,Changsha,Line 5 North Extension,2019,2022,3.65,1.77,2,1409,CNY,335.62
8131,CN,Beijing,Line 8 Northern Extension,2011,2013,6.328,4.648,3,3212.2,CNY,911.52
8136,CN,Shanghai,Line 8 Phase 3 (Pujiang Line),2016,2018,6.689,0,6,3177,CNY,867.09
8137,CN,Kunming,Line 1 Southern Extension,2013,2015,7.3,NA,3,2395,CNY,653.66
8139,CN,Beijing,Capital Airport Express,2005,2008,28.1,0,4,622.3,CNY,218.89
8146,CN,Wenzhou,S1 Phase 1,2013,2019,53.5,10,21,18606.829999999998,CNY,4949.94
8154,CN,Lanzhou,Line 2 Phase 1,2015,2020,9.4,9.4,8,5762,CNY,1618.08
8155,CN,Lanzhou,Line 1 Phase 1,2011,2016,26.6,26.6,20,17160,CNY,4818.87
8160,CN,Dongguan,Line 1 Phase 1,2019,2024,57.5,49.5,24,36822,CNY,8771.32
8161,CN,Dongguan,Line 1 Phase 2,2023,2028,10.9,3.8,4,6055,CNY,1442.35
8162,CN,Dongguan,Line 1 Phase 3,2020,2025,3.54,3.5,1,1728,CNY,411.62
8163,CN,Dongguan,Line 1 Feeder Phase 1,2022,2027,25.56,25.6,10,17499,CNY,4168.41
8168,CN,Dongguan,Line 2 Phase 3,2021,2026,17.5,17.1,8,11532,CNY,2747.02
8169,CN,Dongguan,Line 3 Phase 1,2023,2028,50.14,50.1,18,32178,CNY,7665.08
8170,CN,Dongguan,Line 3 feeder,2024,2028,1.8,1.8,1,1297,CNY,308.96
8171,SA,Riyadh,Blue,2015,2016,38,16.2,22,6561,USD,11941.02
8176,SA,Riyadh,Red,2014,2020,25.3,0,13,2880,USD,5241.6
8177,SA,Riyadh,Orange,2014,2017,40.7,5.7,20,5002,USD,9103.64
8178,SA,Riyadh,Yellow,2014,2020,29.6,0,8,2270,USD,4131.4
8179,SA,Riyadh,Green,2015,2016,12.9,12,11,2220,USD,4040.4
8184,SA,Riyadh,Purple,2014,2019,29.9,0,6,3330,USD,6060.6
8186,SA,Jeddah,Jeddah Metro,2014,2025,161.1,20,81,12000,USD,17220
8193,QA,Doha,Doha Metro,2013,2026,124,111.5,NA,36000,USD,90000
8194,BH,Bahrain,Phase 1 (Red & Blue),2018,2023,28.6,0,20,453,BD,2265
8195,BH,Bahrain,Phase 2,2020,X,72.7,0,NA,1500,BD,7500
8200,AE,Dubai,Phase 1 - Red Line,2005,2010,35,4.7,29,4200,USD,7560
8201,AE,Dubai,Phase 2 - Green Line,2006,2010,22.5,7.9,20,3600,USD,6840
8202,AE,Dubai,Phase 3 (Red Line Extension/Route 2020),2016,2020,15,3.2,7,2900,USD,5510
8203,EG,Cairo,Line 1,1982,1987,44,6.3,35,973,EGP,2432.5
8208,EG,Cairo,Line 2,1993,2005,22,9.5,20,9700,EGP,9700
8210,EG,Cairo,Line 3 Phase 1,2006,2012,4.3,4.3,5,4200,EGP,3000
8211,EG,Cairo,Line 3 Phase 2,2009,2014,7.2,7.2,4,498,EU,0
8218,EG,Cairo,Line 4 (4 Phases),2019,X,19,NA,17,3600,USD,12960
8224,EG,Cairo,Line 6,2017,X,21,13.7,24,4000,USD,12400
8225,KW,Kuwait City,Kuwait Metro,2020,2025,160,56,68,20000,USD,30400
9459,UZ,Tashkent,Sergeli Line,2017,2020,7.1,7.1,6,142,USD,711
9460,UZ,Tashkent,Yunusabad Line extension,2017,2020,2.9,2.9,2,125,USD,624
9461,CN,Shanghai,Line 15,2015,2020,42.3,42.3,30,47650,CNY,12676.24
9462,CN,Shanghai,Line 14,2016,2020,38.514,38.514,31,57686,CNY,15744.00
9467,CN,Shanghai,Line 16,2010,2014,58.96,13.69,NA,18160,CNY,5455.264
9486,CN,Guangzhou,Line 13 Phase 1,2013,2017,27.03,27.03,11,19038,CNY,5195.96
9491,CN,Guiyang,Line 1 Phase 1,2013,2017,34.3,29,25,19370,CNY,5818.75
9493,CN,Chengdu,Line 8 Phase 1,2016,2020,27.4,27.4,22,21863,CNY,5225.38
9494,CN,Chengdu,Line 9 Phase 1,2016,2020,22.2,22.2,13,20253,CNY,4824.29
9499,CN,Chengdu,Line 10 Phase 2,2016,2029,26.7,10.4,9,13156,CNY,3144.36
9500,TR,Istanbul,M3 Phase 2,2015,2023,8.4,8.4,7,333,USD,1032.3
9501,TR,Istanbul,M4 Phase 3,2015,2020,7.5,7.5,4,170,EUR,595
9502,TR,Istanbul,M8,2016,2021,14.3,14.3,11,635,USD,1968.5
9507,TR,Istanbul,M5 Phase 2-M13,2016,2022,17.8,17.8,14,657,USD,2036.7
9508,TR,Istanbul,M12,2017,2022,13,13,9,922,USD,3411.4
9509,TR,Istanbul,M11 Phase 1,2016,2021,37.5,37.5,9,1130,USD,3503
9510,TR,Istanbul,M11 Phase 2,2019,2022,32,32,7,916,USD,3389.2
9459,UZ,Tashkent,Sergeli Line,2017,2020,7.1,7.1,6,142,USD,711
9460,UZ,Tashkent,Yunusabad Line extension,2017,2020,2.9,2.9,2,125,USD,624
